CMDLINE python extract_barcodes.py --r1 r1.fastq --r2=r2.fastq -b ATTCCT --outfile-prefix=extracted_barcode --outdir=Extracted
MEM 0.757812 1496717388.8512
MEM 4.273438 1496717388.9517
MEM 4.273438 1496717389.0520
MEM 9.070312 1496717389.1524
MEM 11.097656 1496717389.2528
MEM 11.117188 1496717389.3532
MEM 11.113281 1496717389.4536
MEM 11.113281 1496717389.5540
MEM 11.113281 1496717389.6544
MEM 11.117188 1496717389.7548
MEM 11.121094 1496717389.8552
MEM 11.140625 1496717389.9556
MEM 11.160156 1496717390.0559
MEM 11.175781 1496717390.1563
MEM 11.179688 1496717390.2567
MEM 11.183594 1496717390.3571
MEM 11.203125 1496717390.4575
MEM 11.218750 1496717390.5579
MEM 11.234375 1496717390.6583
MEM 11.246094 1496717390.7586
MEM 11.246094 1496717390.8590
MEM 11.253906 1496717390.9594
MEM 11.332031 1496717391.0598
MEM 11.355469 1496717391.1602
MEM 11.359375 1496717391.2606
MEM 11.359375 1496717391.3610
MEM 11.371094 1496717391.4614
MEM 11.382812 1496717391.5618
MEM 11.410156 1496717391.6622
MEM 11.421875 1496717391.7626
MEM 11.425781 1496717391.8629
MEM 11.429688 1496717391.9633
MEM 11.445312 1496717392.0637
MEM 11.464844 1496717392.1641
MEM 11.480469 1496717392.2645
MEM 11.484375 1496717392.3649
MEM 11.484375 1496717392.4653
MEM 11.511719 1496717392.5657
MEM 11.531250 1496717392.6660
MEM 11.550781 1496717392.7664
MEM 11.558594 1496717392.8668
MEM 11.562500 1496717392.9672
MEM 11.582031 1496717393.0676
MEM 11.609375 1496717393.1680
MEM 11.613281 1496717393.2683
MEM 11.617188 1496717393.3687
MEM 11.632812 1496717393.4691
MEM 11.652344 1496717393.5695
MEM 11.675781 1496717393.6699
MEM 11.679688 1496717393.7703
MEM 11.679688 1496717393.8707
MEM 11.695312 1496717393.9712
MEM 11.726562 1496717394.0716
MEM 11.753906 1496717394.1720
MEM 11.753906 1496717394.2724
MEM 11.757812 1496717394.3728
MEM 11.769531 1496717394.4732
MEM 11.785156 1496717394.5736
MEM 11.804688 1496717394.6739
MEM 11.804688 1496717394.7743
MEM 11.804688 1496717394.8747
MEM 11.824219 1496717394.9751
MEM 12.035156 1496717395.0755
MEM 12.054688 1496717395.1759
MEM 12.058594 1496717395.2763
MEM 12.058594 1496717395.3767
MEM 12.074219 1496717395.4771
MEM 12.085938 1496717395.5775
MEM 12.101562 1496717395.6779
MEM 12.109375 1496717395.7782
MEM 12.109375 1496717395.8787
MEM 12.117188 1496717395.9790
MEM 12.132812 1496717396.0794
MEM 12.152344 1496717396.1798
MEM 12.167969 1496717396.2802
MEM 12.167969 1496717396.3805
MEM 12.171875 1496717396.4809
MEM 12.218750 1496717396.5813
MEM 12.222656 1496717396.6817
MEM 12.222656 1496717396.7821
MEM 12.218750 1496717396.8825
MEM 12.218750 1496717396.9828
MEM 12.218750 1496717397.0832
MEM 12.218750 1496717397.1836
MEM 12.242188 1496717397.2840
MEM 12.253906 1496717397.3844
MEM 12.281250 1496717397.4848
MEM 12.289062 1496717397.5852
MEM 12.292969 1496717397.6856
MEM 12.300781 1496717397.7860
MEM 12.320312 1496717397.8863
MEM 12.339844 1496717397.9867
MEM 12.351562 1496717398.0871
MEM 12.359375 1496717398.1875
MEM 12.367188 1496717398.2879
MEM 12.386719 1496717398.3883
MEM 12.453125 1496717398.4887
MEM 12.464844 1496717398.5891
MEM 12.468750 1496717398.6894
MEM 12.476562 1496717398.7899
MEM 12.492188 1496717398.8902
MEM 12.507812 1496717398.9908
MEM 12.531250 1496717399.0912
MEM 12.535156 1496717399.1916
MEM 12.535156 1496717399.2920
MEM 12.558594 1496717399.3924
MEM 12.582031 1496717399.4928
MEM 12.593750 1496717399.5932
MEM 12.597656 1496717399.6936
MEM 12.597656 1496717399.7939
MEM 12.617188 1496717399.8943
MEM 12.636719 1496717399.9947
MEM 12.656250 1496717400.0951
MEM 12.664062 1496717400.1955
MEM 12.675781 1496717400.2959
MEM 12.691406 1496717400.3963
MEM 12.710938 1496717400.4967
MEM 12.730469 1496717400.5970
MEM 12.730469 1496717400.6974
MEM 12.742188 1496717400.7978
MEM 12.757812 1496717400.8982
MEM 12.781250 1496717400.9986
MEM 12.785156 1496717401.0990
MEM 12.789062 1496717401.1994
MEM 12.808594 1496717401.2997
MEM 12.824219 1496717401.4001
MEM 12.855469 1496717401.5005
MEM 12.855469 1496717401.6010
MEM 12.859375 1496717401.7014
MEM 12.867188 1496717401.8018
MEM 12.882812 1496717401.9022
MEM 12.894531 1496717402.0025
MEM 12.914062 1496717402.1029
MEM 12.921875 1496717402.2033
MEM 12.917969 1496717402.3037
MEM 12.937500 1496717402.4041
MEM 13.136719 1496717402.5045
MEM 13.144531 1496717402.6048
MEM 13.152344 1496717402.7052
MEM 13.160156 1496717402.8056
MEM 13.164062 1496717402.9060
MEM 13.183594 1496717403.0064
MEM 13.203125 1496717403.1068
MEM 13.207031 1496717403.2072
MEM 13.207031 1496717403.3076
MEM 13.214844 1496717403.4079
MEM 13.230469 1496717403.5083
MEM 13.250000 1496717403.6087
MEM 13.261719 1496717403.7091
MEM 13.261719 1496717403.8095
MEM 13.261719 1496717403.9098
MEM 13.468750 1496717404.0102
MEM 13.687500 1496717404.1106
MEM 13.718750 1496717404.2113
MEM 13.750000 1496717404.3116
